IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Value,FactValueTranslationID,Language,DateModified,Entity,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),"Suicide rate (deaths per 100,000 individuals)","Depressive disorder rates (number suffering per 100,000)"
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,BRB,Barbados,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Barbados,BRB,2016.0,2.270043,3.202543,286000.0,,,,,3.958051,2611.745981
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,BRB,Barbados,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Barbados,BRB,2016.0,0.229685,0.919868,0.321753,4.663418,0.841682,2.759747,1.583089,3.958051,2611.745981
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,BRB,Barbados,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Barbados,BRB,2016.0,2.270043,3.202543,286000.0,,,,,3.958051,2611.745981
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,BRB,Barbados,Year,2016,False,Beverage Types,Wine,ALCOHOLTYPE_SA_WINE,No,823.0,EN,2018-09-03T04:00:00.000Z,Barbados,BRB,2016.0,0.229685,0.919868,0.321753,4.663418,0.841682,2.759747,1.583089,3.958051,2611.745981
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,BRB,Barbados,Year,2016,False,Beverage Types,Wine,ALCOHOLTYPE_SA_WINE,No,823.0,EN,2018-09-03T04:00:00.000Z,Barbados,BRB,2016.0,2.270043,3.202543,286000.0,,,,,3.958051,2611.745981
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,BEL,Belgium,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Belgium,BEL,2016.0,0.257856,0.946706,0.600263,5.210451,0.821391,4.109551,1.460782,14.422615,3738.015054
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,BEL,Belgium,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Belgium,BEL,2016.0,3.026045,5.143191,11354000.0,,,,,14.422615,3738.015054
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,BEL,Belgium,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Belgium,BEL,2016.0,0.257856,0.946706,0.600263,5.210451,0.821391,4.109551,1.460782,14.422615,3738.015054
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,BEL,Belgium,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Belgium,BEL,2016.0,3.026045,5.143191,11354000.0,,,,,14.422615,3738.015054
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,BEL,Belgium,Year,2016,False,Beverage Types,Wine,ALCOHOLTYPE_SA_WINE,No,823.0,EN,2018-09-03T04:00:00.000Z,Belgium,BEL,2016.0,0.257856,0.946706,0.600263,5.210451,0.821391,4.109551,1.460782,14.422615,3738.015054
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,BEL,Belgium,Year,2016,False,Beverage Types,Wine,ALCOHOLTYPE_SA_WINE,No,823.0,EN,2018-09-03T04:00:00.000Z,Belgium,BEL,2016.0,3.026045,5.143191,11354000.0,,,,,14.422615,3738.015054
